,Unnamed: 0,time,lat,lon,spei
6406935,25070970,1909-01-16,40.25,105.25,0.5050566
6473260,25330170,1909-02-15,40.25,105.25,-0.31788698
6539552,25589370,1909-03-16,40.25,105.25,0.28094673
6605903,25848570,1909-04-16,40.25,105.25,0.33288613
6672331,26107770,1909-05-16,40.25,105.25,0.1395504
6738753,26366970,1909-06-16,40.25,105.25,0.06784786
6805185,26626170,1909-07-16,40.25,105.25,0.16371162
6871640,26885370,1909-08-16,40.25,105.25,0.1010833
6938078,27144570,1909-09-16,40.25,105.25,-0.049972296
7004511,27403770,1909-10-16,40.25,105.25,0.31105426
7070930,27662970,1909-11-16,40.25,105.25,0.52804136
7137333,27922170,1909-12-16,40.25,105.25,0.019844448
7203642,28181370,1910-01-16,40.25,105.25,0.60783064
7269965,28440570,1910-02-15,40.25,105.25,-0.31788698
7336254,28699770,1910-03-16,40.25,105.25,0.28094673
7402605,28958970,1910-04-16,40.25,105.25,0.31112593
7469034,29218170,1910-05-16,40.25,105.25,0.123511344
7535453,29477370,1910-06-16,40.25,105.25,0.08358316
7601866,29736570,1910-07-16,40.25,105.25,0.15686606
7668321,29995770,1910-08-16,40.25,105.25,0.1010833
7734756,30254970,1910-09-16,40.25,105.25,-0.03905911
7801189,30514170,1910-10-16,40.25,105.25,0.31105426
7867615,30773370,1910-11-16,40.25,105.25,0.5789297
7934019,31032570,1910-12-16,40.25,105.25,1.0692378
8000327,31291770,1911-01-16,40.25,105.25,0.60783064
8066652,31550970,1911-02-15,40.25,105.25,0.32838735
8132930,31810170,1911-03-16,40.25,105.25,0.339314
8199281,32069370,1911-04-16,40.25,105.25,0.35441595
8265709,32328570,1911-05-16,40.25,105.25,0.1395504
8332131,32587770,1911-06-16,40.25,105.25,0.08358316
8398564,32846970,1911-07-16,40.25,105.25,0.16371162
8465020,33106170,1911-08-16,40.25,105.25,0.10673819
8531458,33365370,1911-09-16,40.25,105.25,-0.049972296
8597891,33624570,1911-10-16,40.25,105.25,0.31105426
8664319,33883770,1911-11-16,40.25,105.25,0.5789297
8730717,34142970,1911-12-16,40.25,105.25,1.0692378
8797026,34402170,1912-01-16,40.25,105.25,0.5050566
8863343,34661370,1912-02-15,40.25,105.25,-0.31788698
8929634,34920570,1912-03-16,40.25,105.25,0.28094673
8995985,35179770,1912-04-16,40.25,105.25,0.31112593
9062414,35438970,1912-05-16,40.25,105.25,0.1395504
9128836,35698170,1912-06-16,40.25,105.25,0.06784786
9195264,35957370,1912-07-16,40.25,105.25,0.15686606
9261720,36216570,1912-08-16,40.25,105.25,0.0954188
9328158,36475770,1912-09-16,40.25,105.25,-0.049972296
9394591,36734970,1912-10-16,40.25,105.25,0.31105426
9461019,36994170,1912-11-16,40.25,105.25,0.5789297
9527423,37253370,1912-12-16,40.25,105.25,0.019844448
9593732,37512570,1913-01-16,40.25,105.25,0.60783064
9660057,37771770,1913-02-15,40.25,105.25,0.32838735
9726349,38030970,1913-03-16,40.25,105.25,0.28094673
9792700,38290170,1913-04-16,40.25,105.25,0.31112593
9859129,38549370,1913-05-16,40.25,105.25,0.123511344
9925549,38808570,1913-06-16,40.25,105.25,0.08358316
9991969,39067770,1913-07-16,40.25,105.25,0.15686606
10058422,39326970,1913-08-16,40.25,105.25,0.1010833
10124856,39586170,1913-09-16,40.25,105.25,-0.049972296
10191288,39845370,1913-10-16,40.25,105.25,0.31105426
10257713,40104570,1913-11-16,40.25,105.25,0.52804136
10324117,40363770,1913-12-16,40.25,105.25,0.019844448
10390423,40622970,1914-01-16,40.25,105.25,0.60783064
10456748,40882170,1914-02-15,40.25,105.25,-0.31788698
10523038,41141370,1914-03-16,40.25,105.25,0.28094673
10589389,41400570,1914-04-16,40.25,105.25,0.31112593
10655817,41659770,1914-05-16,40.25,105.25,0.123511344
10722238,41918970,1914-06-16,40.25,105.25,0.06784786
10788659,42178170,1914-07-16,40.25,105.25,0.16371162
10855112,42437370,1914-08-16,40.25,105.25,0.1010833
10921550,42696570,1914-09-16,40.25,105.25,-0.049972296
10987983,42955770,1914-10-16,40.25,105.25,0.31105426
11054411,43214970,1914-11-16,40.25,105.25,0.5789297
11120815,43474170,1914-12-16,40.25,105.25,0.019844448
11187117,43733370,1915-01-16,40.25,105.25,0.60783064
11253438,43992570,1915-02-15,40.25,105.25,0.32838735
11319729,44251770,1915-03-16,40.25,105.25,0.28094673
11386080,44510970,1915-04-16,40.25,105.25,0.33288613
11452509,44770170,1915-05-16,40.25,105.25,0.15546581
11518931,45029370,1915-06-16,40.25,105.25,0.09925844
11585363,45288570,1915-07-16,40.25,105.25,0.16371162
11651805,45547770,1915-08-16,40.25,105.25,0.10673819
11718230,45806970,1915-09-16,40.25,105.25,-0.03905911
11784663,46066170,1915-10-16,40.25,105.25,0.33748114
11851080,46325370,1915-11-16,40.25,105.25,0.5789297
11917482,46584570,1915-12-16,40.25,105.25,0.019844448
11983790,46843770,1916-01-16,40.25,105.25,0.7034109000000001
12050115,47102970,1916-02-15,40.25,105.25,1.0019507
12116407,47362170,1916-03-16,40.25,105.25,0.28094673
12182745,47621370,1916-04-16,40.25,105.25,0.33288613
12249174,47880570,1916-05-16,40.25,105.25,0.1073479
12315531,48139770,1916-06-16,40.25,105.25,0.06784786
12381963,48398970,1916-07-16,40.25,105.25,0.15000904
12448408,48658170,1916-08-16,40.25,105.25,0.0954188
12514844,48917370,1916-09-16,40.25,105.25,-0.060934734
12581277,49176570,1916-10-16,40.25,105.25,0.31105426
12647705,49435770,1916-11-16,40.25,105.25,0.5789297
12714109,49694970,1916-12-16,40.25,105.25,1.0692378
12780415,49954170,1917-01-16,40.25,105.25,0.7034109000000001
12846730,50213370,1917-02-15,40.25,105.25,0.32838735
12913022,50472570,1917-03-16,40.25,105.25,0.28094673
12979372,50731770,1917-04-16,40.25,105.25,0.28913355
13045801,50990970,1917-05-16,40.25,105.25,0.123511344
13112220,51250170,1917-06-16,40.25,105.25,0.05205316
13178640,51509370,1917-07-16,40.25,105.25,0.15000904
13245096,51768570,1917-08-16,40.25,105.25,0.0954188
13311531,52027770,1917-09-16,40.25,105.25,-0.060934734
13377961,52286970,1917-10-16,40.25,105.25,0.31105426
